scientificName;islandPresence;law;euLaw;
Balaenoptera physalus;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Delphinus delphis;All islands;Listado RD 139/2011;Berna (A2), Barc. (A2);
Globicephala melas;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Miniopterus schreibersii;Ma, Me, Ca;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Myotis emarginatus;Me;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Myotis myotis;Ma, Me;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Physeter macrocephalus;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Plecotus austriacus;All islands;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Rhinolophus ferrumequinum;Ma, Me, Fo;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Tursiops truncatus;All islands;Listado RD 139/2011;Hàbitats (A2), Berna (A2), Barc. (A2);
Anthyllis hystrix;Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2);
Diplotaxis ibicensis;Ma, Ei, Fo, Ca, Dra;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2);
Helianthemum caput-felis;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2), Berna (A1);
Isoetes histrix (Població menorquina);Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Marsilea strigosa;Ma, Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008) i Li;Hàbitats (A2);
Rhamnus ludovici-salvatoris (Pobl.menorquina);Ma, Me i Ca;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Allognathus graellsianus;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa caroli;Ei, Fo;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa claudinae;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa ebusitana;Ei, Fo;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Allium grosii;Ei;Listado RD 139/2011;;
Anthyllis hystrix;Me;Listado RD 139/2011;Hàbitats (A2);
Carduncellus dianius;Ei;Listado RD 139/2011;;
Caulerpa ollivieri;;Listado RD 139/2011;;
Crepis pusilla;Ma;Listado RD 139/2011;Hàbitats (A2);
Cymodocea nodosa;All islands;Listado RD 139/2011;Hàbitats (A1), Berna (A1) ;
Cystoseira sp. (llevat de C. compressa);All islands;Orden AAA/75/2012;Barc. (A2);
Dianthus rupicola;Ma;Listado RD 139/2011;Hàbitats (A2);
Diplotaxis ibicensis;Ma, Ei, Fo, Ca, Dra;Listado RD 139/2011;Hàbitats (A2);
Genista dorycnifolia;Ei ;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A2);
Kostelezkya pentacarpa;Me, Ca;Listado RD 139/2011;Hàbitats (A2);
Laminaria rodriguezii;;Listado RD 139/2011;Berna (A1), Barc. (A2);
Limonium magallufianum;Ma;Listado RD 139/2011;;X
Limonium majoricum;Ma;Listado RD 139/2011;;
Marsilea strigosa;Ma, Me;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A2);
Paeonia cambessedesii;Ma, Me, Ca;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A2);X
Petalophyllum ralfsii;Ma, Me, Ei;Listado RD 139/2011;;
Posidonia oceanica;All islands;Listado RD 139/2011;Hàbitats (A1), Barc. (A2);
Tenarea tortuosa;All islands;Orden AAA/75/2012;;
Titanoderma ramosissimum;All islands;Orden AAA/75/2012;;
Titanoderma trochanter;All islands;Orden AAA/75/2012;;
Viola jaubertiana;Ma;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A2);X
Zostera noltii;All islands;Listado RD 139/2011;Barc. (A2);
Aplysina sp.;All islands;Orden AAA/75/2012;Berna (A2), Barc. (A2);
Petrobiona massiliana;All islands;Orden AAA/75/2012;Berna (A2), Barc. (A2);
Tethya sp.;All islands;Orden AAA/75/2012;Barc. (A2);
Leiopathes glaberrima;;Orden TEC/596/2019;;
Callogorgia verticillata;;Orden TEC/596/2019;;
Cladocora caespitosa;;Orden TEC/596/2019;;
Lophelia pertusa;;Orden TEC/596/2019;;
Madrepora oculata;;Orden TEC/596/2019;;
Cerambyx cerdo;Ma;Listado RD 139/2011;Hàbitats (A2);
Erosaria spurca;All islands;Listado RD 139/2011;;
Lithophaga lithophaga;All islands;Listado RD 139/2011;Hàbitats (A4), Barc. (A2);
Luria lurida;All islands;Listado RD 139/2011;;
Mitra zonata;All islands;Listado RD 139/2011;;
Nucella lapillus;All islands;Listado RD 139/2011;;
Pholas dactylus;All islands;Listado RD 139/2011;;
Pinna rudis;All islands;Listado RD 139/2011;;
Ranella olearia;All islands;Listado RD 139/2011;;
Tonna galea;All islands;Listado RD 139/2011;;
Zonaria pyrum;All islands;Listado RD 139/2011;;
Asterina pancerii;Ma, Ei, Fo;Listado RD 139/2011;Barc. (A2);
Centrostephanus longispinus;;Listado RD 139/2011;Barc. (A2);
Ophidiaster ophidianus;;Listado RD 139/2011;Barc. (A2);
Alopiidae;All islands;Listado RD 139/2011;;
Carcharias taurus;All islands;Orden AAA/75/2012;;
Carcharodon carcharias;All islands;Listado RD 139/2011;;
Cetorhinus maximus;All islands;Listado RD 139/2011;;
Dipturus batis;All islands;Orden AAA/75/2012;;
Galeorhinus galeus;All islands;Orden AAA/1771/2015;;
Gymnura altavela;All islands;Orden AAA/75/2012;;
Hippocampus guttulatus;All islands;Listado RD 139/2011;;
Hippocampus hippocampus;All islands;Listado RD 139/2011;;
Isurus oxyrhinchus;All islands;Orden AAA/1771/2015;;
Lamna nasus;All islands;Orden AAA/1771/2015;;
Leucoraja circularis;All islands;Orden AAA/1771/2015;;
Mobula mobular;All islands;Listado RD 139/2011;;
Odontaspis ferox;All islands;Orden AAA/75/2012;;
Oxynotus centrina;All islands;Orden AAA/75/2012;;
Pristis pectinata;All islands;Orden AAA/75/2012;;
Pristis pristis;All islands;Orden AAA/75/2012;Cites (A1);
Rhinobatos cemiculus;All islands;Orden AAA/1771/2015;;
Rhinobatos rhinobatos;All islands;Orden AAA/1771/2015;;
Rostroraja alba;All islands;Orden AAA/75/2012;Berna (A3), Barc. (A3);
Sphyrnidae;All islands;Listado RD 139/2011;;
Squatina aculeata;All islands;Orden AAA/75/2012;;
Squatina oculata;All islands;Orden AAA/75/2012;;
Squatina squatina;All islands;Orden AAA/75/2012;Berna (A3), Barc. (A2);
Bufo balearicus;Ma, Me, Ei;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Hyla meridionalis;Me;Listado RD 139/2011;Hàbitats (A4), Berna (A3);
Dermochelys coriacea;divagant;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Emys orbicularis;Ma, Me;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A2, A4), Berna (A2);
Hemidactylus turcicus;All islands;Listado RD 139/2011;Berna (A3);
Hemorrhois hippocrepis;Ma, Ei;Listado RD 139/2011;Hàbitats (A4), Berna (A2);*
Macroprotodon mauritanicus ;Ma, Me;Listado RD 139/2011;Berna (A3);
Podarcis lilfordi;Ma, Me;Listado RD 139/2011;Hàbitats (A2, A4), Berna (A2);X
Podarcis pityusensis;Ei, Fo;Listado RD 139/2011;Hàbitats (A2, A4);X
Podarcis siculus;Me;Listado RD 139/2011 i Cat. Bal.;Hàbitats (A4), Berna (A2);
Psammodromus algirus;Ma;Listado RD 139/2011;Berna (A3);
Rhinechis scalaris;Ma, Me;Listado RD 139/2011;Berna (A3);*
Tarentola mauritanica;All islands;Listado RD 139/2011;Berna (A3);
Testudo hermanni;Ma, Me;Listado RD 139/2011;Hàbitats (A2, A4), Berna (A2);
Accipiter nisus;migrant;Listado RD 139/2011;Aus (A1);
Acrocephalus arundinaceus;Ma, Me;Listado RD 139/2011;Berna (A3);
Acrocephalus melanopogon;Ma, Me;Listado RD 139/2011;Aus (A1);
Acrocephalus scirpaceus;Ma, Me, Ei;Listado RD 139/2011;Berna (A3);
Actitis hypoleucos;totes (no cria);Listado RD 139/2011;Berna (A3);
Aegithalos caudatus;Ma;Listado RD 139/2011;Berna (A3);
Alca torda;totes (no cria);Listado RD 139/2011;Berna (A3);
Alcedo atthis;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Anthus campestris;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Anthus cervinus;Ma, Me;Listado RD 139/2011;Berna (A2);
Anthus pratensis;totes (no cria);Listado RD 139/2011;Berna (A2);
Anthus spinoletta;totes (no cria);Listado RD 139/2011;Berna (A2);
Anthus trivialis;totes (no cria);Listado RD 139/2011;Berna (A2);
Apus apus;All islands;Listado RD 139/2011;Berna (A3);
Apus melba;All islands;Listado RD 139/2011;Berna (A2);
Apus pallidus;All islands;Listado RD 139/2011;Berna (A2);
Aquila chrysaetos ;+ MA;Listado RD 139/2011;Aus (A1);
Ardea cinerea;totes (no cria);Listado RD 139/2011;Berna (A3);
Ardea purpurea;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);
Arenaria interpres;totes (no cria);Listado RD 139/2011;Berna (A2);
Asio flammeus;Ma, Me;Listado RD 139/2011;Aus (A1), Berna (A2);
Asio otus;Ma, Ei, Fo;Listado RD 139/2011;Berna (A2);
Bubulcus ibis;Ma;Listado RD 139/2011;Berna (A2);
Burhinus oedicnemus;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Buteo buteo;Ma cria, totes;Listado RD 139/2011;Berna (A3);
Calandrella brachydactyla;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Calidris alba;All islands;Listado RD 139/2011;Berna (A2);
Calidris alpina;totes (no cria);Listado RD 139/2011;Berna (A2);
Calidris canutus;All islands;Listado RD 139/2011;Berna (A3);
Calidris ferruginea;totes (no cria);Listado RD 139/2011;Berna (A2);
Calidris maritima;divagant;Listado RD 139/2011;Berna (A2);
Calidris minuta;totes (no cria);Listado RD 139/2011;Berna (A2);
Calidris temminckii;migrant;Listado RD 139/2011;Berna (A2);
Caprimulgus europaeus;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Caprimulgus ruficollis;divagant;Listado RD 139/2011;Berna (A2);
Carduelis spinus;All islands;Listado RD 139/2011;Berna (A2);
Cettia cetti;All islands;Listado RD 139/2011;Berna (A3);
Ciconia ciconia;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Circaetus gallicus;migrant;Listado RD 139/2011;Berna (A3);
Circus aeruginosus;Ma;Listado RD 139/2011;Aus (A1);
Circus cyaneus;divagant;Listado RD 139/2011;Aus (A1);
Cisticola juncidis;All islands;Listado RD 139/2011;Berna (A3);
Clamator glandarius;divagant;Listado RD 139/2011;Berna (A2);
Coccothraustes coccothraustes;totes (no cria);Listado RD 139/2011;Berna (A2);
Coracias garrulus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Crex crex;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Cuculus canorus;All islands;Listado RD 139/2011;Berna (A3);
Charadrius alexandrinus;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Charadrius dubius;Ma, Me;Listado RD 139/2011;Berna (A2);
Charadrius hiaticula;Ma;Listado RD 139/2011;Berna (A2);
Chlidonias hybrida;totes (no cria);Listado RD 139/2011;Berna (A2);
Chlidonias leucopterus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Chlidonias niger;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Delichon urbica;All islands;Listado RD 139/2011;Berna (A2);
Egretta alba;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Egretta garzetta;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);
Emberiza cia;divagant;Listado RD 139/2011;Berna (A2);
Emberiza cirlus;All islands;Listado RD 139/2011;Berna (A2);
Emberiza hortulana;totes (no cria);Listado RD 139/2011;Aus (A1);
Erithacus rubecula;Ma cria, totes;Listado RD 139/2011;Berna (A2);
Falco columbarius;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Falco eleonorae;Ma, Ei;Listado RD 139/2011;Aus (A1), Berna (A2);
Falco naumanni;Ma cria, totes;Listado RD 139/2011;Aus (A1);
Falco peregrinus ;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Falco subbuteo;Migrant;Listado RD 139/2011;Berna (A2);
Falco tinnunculus;All islands;Listado RD 139/2011;Berna (A2);
Falco vespertinus;totes (no cria);Listado RD 139/2011;Berna (A2);
Ficedula hypoleuca;migrant;Listado RD 139/2011;Berna (A3);
Fratercula arctica;totes (no cria);Listado RD 139/2011;Berna (A3);
Fringilla coelebs;All islands;Listado RD 139/2011;Berna (A3);
Fringilla montifringilla;totes (no cria);Listado RD 139/2011;Berna (A3);
Galerida theklae;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Gavia arctica;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Gavia immer;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Gavia stellata;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Gelochelidon nilotica;migrant;Listado RD 139/2011;Aus (A1);
Glareola pratincola;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Grus grus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Gyps fulvus;Ma;Listado RD 139/2011;Aus (A1);
Haematopus ostralegus;migrant;Listado RD 139/2011;Aus (A2,2);
Hieraaetus pennatus;Ma, Me;Listado RD 139/2011;Aus (A1);x
Himantopus himantopus;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Hippolais icterina;migrant;Listado RD 139/2011;Berna (A3);
Hippolais pallida;migrant;Listado RD 139/2011;Berna (A3);
Hippolais poliglota;migrant;Listado RD 139/2011;Berna (A3);
Hirundo daurica;Ma cria, totes;Listado RD 139/2011;Berna (A2);
Hirundo rustica;All islands;Listado RD 139/2011;Berna (A2);
Hydrobates pelagicus;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Ixobrychus minutus;Ma cria, totes;Listado RD 139/2011;Aus (A1), Berna (A2);
Jynx torquilla;All islands;Listado RD 139/2011;Berna (A2);
Lanius senator;All islands;Listado RD 139/2011;Berna (A2);
Larus genei;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Larus melanocephalus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Larus minutus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Limosa laponica;migrant;Listado RD 139/2011;Aus (A1, A2,2);
Limosa limosa;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Locustella luscinioides;migrant;Listado RD 139/2011;Berna (A3);
Loxia curvirostra;All islands;Listado RD 139/2011;Berna (A2);
Luscinia megarhynchos;All islands;Listado RD 139/2011;Berna (A2);
Luscinia svecica;totes (no cria);Listado RD 139/2011;Berna (A2);
Merops apiaster;All islands;Listado RD 139/2011;Berna (A2);
Milvus migrans;totes (no cria);Listado RD 139/2011;Aus (A1);
Monticola saxatilis;Ma;Listado RD 139/2011;Berna (A2);
Monticola solitarius;All islands;Listado RD 139/2011;Berna (A2);
Montifringilla nivalis;divagant;Listado RD 139/2011;Berna (A2);
Morus bassanus;totes (no cria);Listado RD 139/2011;Berna (A3);
Motacilla alba;totes (no cria);Listado RD 139/2011;Berna (A2);
Motacilla cinerea;totes (no cria);Listado RD 139/2011;Berna (A2);
Motacilla flava;All islands;Listado RD 139/2011;Berna (A2);
Muscicapa striata;All islands;Listado RD 139/2011;Berna (A3);
Numenius arquata;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Numenius phaeopus;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Nycticorax nycticorax;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);
Oenanthe hispanica;totes (no cria);Listado RD 139/2011;Berna (A2);
Oenanthe oenanthe;Ma, Ei;Listado RD 139/2011;Berna (A2);
Oriolus oriolus;migrant;Listado RD 139/2011;Berna (A2);
Otus scops;All islands;Listado RD 139/2011;Berna (A2);
Parus caeruleus;Ma;Listado RD 139/2011;Berna (A2);
Parus major;All islands;Listado RD 139/2011;Berna (A2);
Pernis apivorus;migrant;Listado RD 139/2011;Aus (A1);
Petronia petronia ;All islands;Listado RD 139/2011;Berna (A2);
Phalaropus lobatus;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Philomachus pugnax;totes (no cria);Listado RD 139/2011;Aus (A1, A2,2);
Phoenicopterus ruber;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
