scientificName;islandPresence;law;euLaw;
Eptesicus serotinus;;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Grampus griseus;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Hypsugo savii;All islands;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Myotis daubentonii;Me;Listado RD 139/2011;Hàbitats (A4), Berna (A2);X
Myotis escalerai;Ma, Me, Ei;Listado RD 139/2011;Hàbitats (A4), Berna (A2);X
Nyctalus leisleri;Ma, Me, Ei;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Pipistrellus kuhlii;Ma, Me, Ei, Fo;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Pipistrellus nathusii;Ma;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Pipistrellus pipistrellus;All islands;Listado RD 139/2011;Hàbitats (A4), Berna (A2, A3);
Pipistrellus pygmaeus;Ma, Me;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Rhinolophus hipposideros ;Ma, Me, Ei, Fo;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Stenella coeruleoalba ;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Tadarida teniotis;All islands;Listado RD 139/2011;Berna (A2);
Acer opalus subsp. granatense;Ma;Decret 75/2005;;X
Asperula paui;Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Asplenium billotii;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Asplenium fontanum subsp. fontanum;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Beta maritima subsp. Marcosii;Ca;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Buxus balearica;Ma, Ca;Decret 75/2005;;X
Cephalaria squamiflora subsp. Mediterranea;Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Chaenorhinum rodriguezii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Cymbalaria aequitriloba subsp. fragilis;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Dianthus rupicola subsp. bocchoriana;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);Hàbitats (A2);
Digitalis minor;Ma, Me, Ca;Decret 75/2005;;X
Dorycnium fulgurans (població mallorquina);Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Echinophora spinosa;Ma, Me, Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Fumana juniperina;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Genista dorycnifolia subsp. grosii;Ei;Decret 75/2005;;
Helianthemum marifolium subsp. origanifolium;Ma, Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Helianthemum scopulicolum;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ilex aquifolium;Ma;Decret 75/2005;;X
Linaria aeruginea subsp. pruinosa;Ma;Decret 75/2005;;X
Limonium antoni-llorensii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Limonium fontqueri;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Limonium leonardi-llorensii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Linum maritimum;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Mauranthemum paludosum subsp. ebusitanum;Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ononis alopecuroides subsp. Alopecuroides;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ononis crispa subsp. zschackei;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Otanthus maritimus;Ma, Me, Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Paeonia cambessedesii;Ma, Ca;Decret 75/2005;;X
Pancratium maritimum;Ma, Me, Ei, Fo, Ca;Decret 75/2005;;
Phleum arenarium;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Pimpinella bicknellii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Pinus halepensis var. ceciliae;Ma, Me, Ei;Decret 75/2005;;
Primula acaulis subsp. balearica;Ma;Decret 75/2005;;X
Potamogeton schweinfurthii;Me, Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Quercus suber;Ma, Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ranunculus bullatus;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ranunculus chius;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Rubia caespitosa;Ca;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Serapias nurrica;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Silene cambessedesii;Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Taxus baccata;Ma;Decret 75/2005;;X
Teline monspessulana;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Teucrium cossonii subsp. punicum;Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Thymus richardii subsp. ebusitanus;Ei;Decret 75/2005;;
Tuberaria macrosepala;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Urtica atrovirens subsp. Atrovirens;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Viola jaubertiana;Ma;Decret 75/2005;;X
Vitex agnus-castus;Ma, Me, Ei;Decret 75/2005;;
Totes les espècies del gènere Tamarix;Ma, Me, Ei, Fo, Ca;Decret 75/2005;;
Crithmum maritimum;Ma, Me, Ei, Fo, Ca, D;Decret 75/2005;;
Chamaerops humilis;Ma, Me, Ei, Fo;Decret 75/2005;;
Dorycnium fulgurans;Ma, Me, Ca;Decret 75/2005;;
Myrtus communis;Ma, Me, Ei;Decret 75/2005;;
Rhamnus alaternus;Ma, Me, Ei;Decret 75/2005;;
Ruscus aculeatus;Ma, Me, Ei, Fo, Ca ;Decret 75/2005;;
Santolina chamaecyparissus;Ma, Me, Ei, Ca;Decret 75/2005;;
Teucrium marum subsp. occidentale;Ma;Decret 75/2005;;
Thapsia garganica;Ei, Fo;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;
Viburnum tinus;Ma, Me, Ei;Decret 75/2005;;
Podarcis sicula;Me;Decret 75/2005;;
Lacerta perspicillata;Me;Decret 75/2005;;
Emys orbicularis;Ma, Me;Decret 75/2005;;
Corvus corax (Pobl. Eivissa i Formentera);Ei;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;
Rallus aquaticus;Ma, Me;Decret 75/2005;Aus (A2,2);
Tringa totanus;Ma, Me;Decret 75/2005;Aus (A2,2);
Vanellus vanellus;totes (no cria);Decret 75/2005;Aus (A2,2), Berna (A3);
